Property_ID,Zone,Date,phase,monthly_production,daily_production
3504924934,SPRG,2016-10-31,Gas,6517.0,210.2258064516129
3504924934,SPRG,2016-11-30,Oil,2269.0,75.63333333333334
3504924934,SPRG,2016-11-30,Gas,6682.0,222.73333333333332
3504924934,SPRG,2016-12-31,Oil,2485.0,80.16129032258064
3504924934,SPRG,2016-12-31,Gas,6316.0,203.74193548387098
3504924934,SPRG,2017-01-31,Oil,2164.2,69.81290322580645
3504924934,SPRG,2017-01-31,Gas,7078.0,228.32258064516128
3504924934,SPRG,2017-02-28,Oil,1840.54,65.73357142857142
3504924934,SPRG,2017-02-28,Gas,5945.0,212.32142857142858
3504924934,SPRG,2017-03-31,Oil,2329.36,75.14064516129032
3504924934,SPRG,2017-03-31,Gas,6418.0,207.03225806451613
3504924934,SPRG,2017-04-30,Oil,2139.8,71.32666666666667
3504924934,SPRG,2017-04-30,Gas,6698.0,223.26666666666668
3504924934,SPRG,2017-05-31,Oil,2260.19,72.90935483870967
3504924934,SPRG,2017-05-31,Gas,7181.0,231.6451612903226
3504924934,SPRG,2017-06-30,Oil,2128.91,70.96366666666667
3504924934,SPRG,2017-06-30,Gas,6124.0,204.13333333333333
3504924934,SPRG,2017-07-31,Oil,2229.33,71.91387096774193
3504924934,SPRG,2017-07-31,Gas,5236.0,168.90322580645162
3504924934,SPRG,2017-08-31,Oil,2078.09,67.03516129032259
3504924934,SPRG,2017-08-31,Gas,5578.0,179.93548387096774
3504924934,SPRG,2017-09-30,Oil,2127.3,70.91000000000001
3504924934,SPRG,2017-09-30,Gas,6032.0,201.06666666666666
3504924934,SPRG,2017-10-31,Oil,1934.31,62.39709677419355
3504924934,SPRG,2017-10-31,Gas,5434.0,175.29032258064515
3504924934,SPRG,2017-11-30,Oil,2174.69,72.48966666666666
3504924934,SPRG,2017-11-30,Gas,5970.0,199.0
3504924934,SPRG,2017-12-31,Oil,1948.22,62.8458064516129
3504924934,SPRG,2017-12-31,Gas,5744.0,185.29032258064515
3504924934,SPRG,2018-01-31,Oil,1924.83,62.09129032258064
3504924934,SPRG,2018-01-31,Gas,4934.0,159.16129032258064
3504924934,SPRG,2018-02-28,Oil,1981.5,70.76785714285714
3504924934,SPRG,2018-02-28,Gas,4351.0,155.39285714285714
3504924934,SPRG,2018-03-31,Oil,1957.9,63.15806451612904
3504924934,SPRG,2018-03-31,Gas,5605.0,180.80645161290323
3504924934,SPRG,2018-04-30,Oil,1789.11,59.63699999999999
3504924934,SPRG,2018-04-30,Gas,4922.0,164.06666666666666
3504924934,SPRG,2018-05-31,Oil,1621.94,52.32064516129032
3504924934,SPRG,2018-05-31,Gas,3600.0,116.12903225806451
3504924934,SPRG,2018-09-30,Oil,351.69,11.723
3504924934,SPRG,2018-10-31,Oil,352.9,11.383870967741935
3504924934,SPRG,2018-11-30,Oil,370.25,12.341666666666667
3504924934,SPRG,2018-12-31,Oil,568.68,18.344516129032257
3504924934,SPRG,2019-01-31,Oil,734.84,23.70451612903226
3504924934,SPRG,2019-01-31,Gas,142.0,4.580645161290323
3504924934,SPRG,2019-02-28,Oil,738.07,26.35964285714286
3504924934,SPRG,2019-02-28,Gas,439.0,15.678571428571429
3504924934,SPRG,2019-03-31,Oil,893.75,28.830645161290324
3504924934,SPRG,2019-03-31,Gas,608.0,19.612903225806452
3504924934,SPRG,2019-04-30,Oil,743.72,24.790666666666667
3504924934,SPRG,2019-04-30,Gas,130.0,4.333333333333333
3504924934,SPRG,2019-05-31,Oil,923.6,29.793548387096774
3504924934,SPRG,2019-05-31,Gas,1052.0,33.935483870967744
3504924934,SPRG,2019-06-30,Oil,919.16,30.638666666666666
3504924934,SPRG,2019-06-30,Gas,1002.0,33.4
3504924934,SPRG,2019-07-31,Oil,1070.0,34.516129032258064
3504924934,SPRG,2019-07-31,Gas,1227.0,39.58064516129032
3504924934,SPRG,2019-08-31,Oil,890.12,28.713548387096775
3504924934,SPRG,2019-08-31,Gas,1322.0,42.645161290322584
3504924934,SPRG,2019-09-30,Oil,920.77,30.692333333333334
3504924934,SPRG,2019-09-30,Gas,1410.0,47.0
3504924934,SPRG,2019-10-31,Oil,1092.99,35.25774193548387
3504924934,SPRG,2019-10-31,Gas,1506.0,48.58064516129032
3504924934,SPRG,2019-11-30,Oil,887.7,29.59
3504924934,SPRG,2019-11-30,Gas,1603.0,53.43333333333333
3504924934,SPRG,2019-12-31,Oil,1074.44,34.65935483870968
3504924934,SPRG,2019-12-31,Gas,1618.0,52.193548387096776
3504924934,SPRG,2020-01-31,Oil,900.61,29.051935483870967
3504924934,SPRG,2020-01-31,Gas,1701.0,54.87096774193548
3504924934,SPRG,2020-02-29,Oil,1049.03,36.17344827586207
3504924934,SPRG,2020-02-29,Gas,1390.0,47.93103448275862
3504924934,SPRG,2020-03-31,Oil,1099.44,35.465806451612906
3504924934,SPRG,2020-03-31,Gas,1916.0,61.806451612903224
3504924934,SPRG,2020-04-30,Oil,182.3,6.076666666666667
3504924934,SPRG,2020-04-30,Gas,93.0,3.1
3504924934,SPRG,2020-08-31,Oil,2424.34,78.20451612903226
3504924934,SPRG,2020-08-31,Gas,2492.0,80.38709677419355
3504924934,SPRG,2020-09-30,Oil,1057.9,35.263333333333335
3504924934,SPRG,2020-09-30,Gas,2005.0,66.83333333333333
3504924934,SPRG,2020-10-31,Oil,1230.52,39.6941935483871
3504924934,SPRG,2020-10-31,Gas,2648.0,85.41935483870968
3504924934,SPRG,2020-11-30,Oil,884.47,29.482333333333333
3504924934,SPRG,2020-11-30,Gas,2330.0,77.66666666666667
3504924934,SPRG,2020-12-31,Oil,1057.09,34.09967741935483
3504924934,SPRG,2020-12-31,Gas,2442.0,78.7741935483871
3504924934,SPRG,2021-01-31,Oil,1071.21,34.55516129032258
3504924934,SPRG,2021-01-31,Gas,2415.0,77.90322580645162
3504924934,SPRG,2021-02-28,Oil,372.26,13.295
3504924934,SPRG,2021-02-28,Gas,1611.0,57.535714285714285
3504924934,SPRG,2021-03-31,Oil,1304.33,42.075161290322576
3504924934,SPRG,2021-03-31,Gas,2955.0,95.3225806451613
3504924934,SPRG,2021-04-30,Oil,1154.7,38.49
3504924997,SPRG,2014-09-30,Oil,8718.0,290.6
3504924997,SPRG,2014-09-30,Gas,9603.0,320.1
3504924997,SPRG,2014-10-31,Oil,19697.0,635.3870967741935
3504924997,SPRG,2014-10-31,Gas,21723.0,700.741935483871
3504924997,SPRG,2014-11-30,Oil,16357.0,545.2333333333333
3504924997,SPRG,2014-11-30,Gas,18013.0,600.4333333333333
3504924997,SPRG,2014-12-31,Oil,15558.0,501.8709677419355
3504924997,SPRG,2014-12-31,Gas,16328.0,526.7096774193549
3504924997,SPRG,2015-01-31,Oil,13715.0,442.4193548387097
3504924997,SPRG,2015-01-31,Gas,15273.0,492.6774193548387
3504924997,SPRG,2015-02-28,Oil,11383.0,406.5357142857143
3504924997,SPRG,2015-02-28,Gas,13234.0,472.64285714285717
3504924997,SPRG,2015-03-31,Oil,12700.0,409.6774193548387
3504924997,SPRG,2015-03-31,Gas,13026.0,420.19354838709677
3504924997,SPRG,2015-04-30,Oil,10521.0,350.7
3504924997,SPRG,2015-04-30,Gas,11265.0,375.5
3504924997,SPRG,2015-05-31,Oil,10273.0,331.38709677419354
3504924997,SPRG,2015-05-31,Gas,11027.0,355.7096774193548
3504924997,SPRG,2015-06-30,Oil,9537.0,317.9
3504924997,SPRG,2015-06-30,Gas,10061.0,335.3666666666667
3504924997,SPRG,2015-07-31,Oil,9116.0,294.06451612903226
3504924997,SPRG,2015-07-31,Gas,10098.0,325.741935483871
3504924997,SPRG,2015-08-31,Oil,10020.0,323.2258064516129
3504924997,SPRG,2015-08-31,Gas,16334.0,526.9032258064516
3504924997,SPRG,2015-09-30,Oil,6750.0,225.0
3504924997,SPRG,2015-09-30,Gas,15425.0,514.1666666666666
3504924997,SPRG,2015-10-31,Oil,7841.0,252.93548387096774
3504924997,SPRG,2015-10-31,Gas,7409.0,239.0
3504924997,SPRG,2015-11-30,Oil,7366.0,245.53333333333333
3504924997,SPRG,2015-11-30,Gas,7441.0,248.03333333333333
3504924997,SPRG,2015-12-31,Oil,7492.0,241.67741935483872
3504924997,SPRG,2015-12-31,Gas,7991.0,257.7741935483871
3504924997,SPRG,2016-01-31,Oil,7354.0,237.2258064516129
3504924997,SPRG,2016-01-31,Gas,8072.0,260.38709677419354
3504924997,SPRG,2016-02-29,Oil,6775.0,233.6206896551724
3504924997,SPRG,2016-02-29,Gas,6648.0,229.24137931034483
3504924997,SPRG,2016-03-31,Oil,6335.0,204.3548387096774
3504924997,SPRG,2016-03-31,Gas,6752.0,217.80645161290323
3504924997,SPRG,2016-04-30,Oil,5386.0,179.53333333333333
3504924997,SPRG,2016-04-30,Gas,5502.0,183.4
3504924997,SPRG,2016-05-31,Oil,5611.0,181.0
3504924997,SPRG,2016-05-31,Gas,5671.0,182.93548387096774
3504924997,SPRG,2016-06-30,Oil,6551.0,218.36666666666667
3504924997,SPRG,2016-06-30,Gas,6980.0,232.66666666666666
3504924997,SPRG,2016-07-31,Oil,5854.0,188.83870967741936
3504924997,SPRG,2016-07-31,Gas,6229.0,200.93548387096774
3504924997,SPRG,2016-08-31,Oil,5673.0,183.0
3504924997,SPRG,2016-08-31,Gas,6362.0,205.2258064516129
3504924997,SPRG,2016-09-30,Oil,5490.0,183.0
3504924997,SPRG,2016-09-30,Gas,6378.0,212.6
3504924997,SPRG,2016-10-31,Oil,6276.0,202.4516129032258
3504924997,SPRG,2016-10-31,Gas,14002.0,451.6774193548387
3504924997,SPRG,2016-11-30,Oil,4690.0,156.33333333333334
3504924997,SPRG,2016-11-30,Gas,6553.0,218.43333333333334
3504924997,SPRG,2016-12-31,Oil,5645.0,182.09677419354838
3504924997,SPRG,2016-12-31,Gas,8451.0,272.61290322580646
3504924997,SPRG,2017-01-31,Oil,5267.0,169.90322580645162
3504924997,SPRG,2017-01-31,Gas,9653.0,311.38709677419354
3504924997,SPRG,2017-02-28,Oil,4016.0,143.42857142857142
3504924997,SPRG,2017-02-28,Gas,8079.0,288.5357142857143
3504924997,SPRG,2017-03-31,Oil,4665.0,150.48387096774192
3504924997,SPRG,2017-03-31,Gas,7070.0,228.06451612903226
3504924997,SPRG,2017-04-30,Oil,4686.0,156.2
3504924997,SPRG,2017-04-30,Gas,8909.0,296.96666666666664
3504924997,SPRG,2017-05-31,Oil,4352.0,140.38709677419354
3504924997,SPRG,2017-05-31,Gas,8470.0,273.2258064516129
3504924997,SPRG,2017-06-30,Oil,4466.0,148.86666666666667
3504924997,SPRG,2017-06-30,Gas,7516.0,250.53333333333333
3504924997,SPRG,2017-07-31,Oil,4382.0,141.3548387096774
3504924997,SPRG,2017-07-31,Gas,7550.0,243.5483870967742
3504924997,SPRG,2017-08-31,Oil,3998.0,128.96774193548387
3504924997,SPRG,2017-08-31,Gas,5823.0,187.83870967741936
3504924997,SPRG,2017-09-30,Oil,4538.0,151.26666666666668
3504924997,SPRG,2017-09-30,Gas,6681.0,222.7
3504924997,SPRG,2017-10-31,Oil,3463.0,111.70967741935483
3504924997,SPRG,2017-10-31,Gas,5718.0,184.4516129032258
3504924997,SPRG,2017-11-30,Oil,4277.0,142.56666666666666
3504924997,SPRG,2017-11-30,Gas,8485.0,282.8333333333333
3504924997,SPRG,2017-12-31,Oil,3498.0,112.83870967741936
3504924997,SPRG,2017-12-31,Gas,5315.0,171.4516129032258
3504924997,SPRG,2018-01-31,Oil,3631.0,117.12903225806451
3504924997,SPRG,2018-01-31,Gas,8011.0,258.4193548387097
3504924997,SPRG,2018-02-28,Oil,4095.0,146.25
3504924997,SPRG,2018-02-28,Gas,13812.0,493.2857142857143
3504924997,SPRG,2018-03-31,Oil,2768.0,89.29032258064517
3504924997,SPRG,2018-03-31,Gas,9940.0,320.64516129032256
3504924997,SPRG,2018-04-30,Oil,3554.0,118.46666666666667
3504924997,SPRG,2018-04-30,Gas,10756.0,358.53333333333336
3504924997,SPRG,2018-06-30,Oil,169.0,5.633333333333334
3504924997,SPRG,2018-06-30,Gas,5.0,0.16666666666666666
3504924997,SPRG,2018-07-31,Gas,43.0,1.3870967741935485
3504924997,SPRG,2018-08-31,Gas,9.0,0.2903225806451613
3504924997,SPRG,2018-09-30,Gas,17.0,0.5666666666666667
3504924997,SPRG,2018-10-31,Oil,168.0,5.419354838709677
3504924997,SPRG,2018-10-31,Gas,11.0,0.3548387096774194
3504924997,SPRG,2018-11-30,Oil,364.0,12.133333333333333
3504924997,SPRG,2018-11-30,Gas,4.0,0.13333333333333333
3504924997,SPRG,2018-12-31,Oil,736.0,23.741935483870968
3504924997,SPRG,2018-12-31,Gas,3.0,0.0967741935483871
3504924997,SPRG,2019-01-31,Oil,736.0,23.741935483870968
3504924997,SPRG,2019-02-28,Oil,570.0,20.357142857142858
3504924997,SPRG,2019-03-31,Oil,906.0,29.225806451612904
3504924997,SPRG,2019-03-31,Gas,57.0,1.8387096774193548
3504924997,SPRG,2019-04-30,Oil,726.0,24.2
3504924997,SPRG,2019-04-30,Gas,418.0,13.933333333333334
3504924997,SPRG,2019-05-31,Oil,1229.0,39.645161290322584
3504924997,SPRG,2019-05-31,Gas,981.0,31.64516129032258
3504924997,SPRG,2019-06-30,Oil,1260.0,42.0
3504924997,SPRG,2019-06-30,Gas,1834.0,61.13333333333333
3504924997,SPRG,2019-07-31,Oil,1259.0,40.61290322580645
3504924997,SPRG,2019-07-31,Gas,1779.0,57.38709677419355
3504924997,SPRG,2019-08-31,Oil,1226.0,39.54838709677419
3504924997,SPRG,2019-08-31,Gas,1842.0,59.41935483870968
3504924997,SPRG,2019-09-30,Oil,1074.0,35.8
3504924997,SPRG,2019-09-30,Gas,2023.0,67.43333333333334
3504924997,SPRG,2019-10-31,Oil,1231.0,39.70967741935484
3504924997,SPRG,2019-10-31,Gas,1459.0,47.064516129032256
3504924997,SPRG,2019-11-30,Oil,1238.0,41.266666666666666
3504924997,SPRG,2019-11-30,Gas,5108.0,170.26666666666668
3504924997,SPRG,2019-12-31,Oil,1081.0,34.87096774193548
3504924997,SPRG,2019-12-31,Gas,2778.0,89.61290322580645
3504924997,SPRG,2020-01-31,Oil,1279.0,41.25806451612903
3504924997,SPRG,2020-01-31,Gas,2346.0,75.6774193548387
3504924997,SPRG,2020-02-29,Oil,917.0,31.620689655172413
3504924997,SPRG,2020-02-29,Gas,3045.0,105.0
3504924997,SPRG,2020-03-31,Oil,1275.0,41.12903225806452
3504924997,SPRG,2020-03-31,Gas,2756.0,88.90322580645162
3504924997,SPRG,2020-04-30,Oil,350.0,11.666666666666666
3504924997,SPRG,2020-04-30,Gas,579.0,19.3
3504924997,SPRG,2020-08-31,Oil,2122.0,68.45161290322581
3504924997,SPRG,2020-08-31,Gas,1175.0,37.903225806451616
3504924997,SPRG,2020-09-30,Oil,1566.0,52.2
3504924997,SPRG,2020-09-30,Gas,2376.0,79.2
3504924997,SPRG,2020-10-31,Oil,1395.0,45.0
3504924997,SPRG,2020-10-31,Gas,2731.0,88.09677419354838
3504924997,SPRG,2020-11-30,Oil,1059.0,35.3
3504924997,SPRG,2020-11-30,Gas,2412.0,80.4
3504924997,SPRG,2020-12-31,Oil,1059.0,34.16129032258065
3504924997,SPRG,2020-12-31,Gas,4830.0,155.80645161290323
3504924997,SPRG,2021-01-31,Oil,1099.0,35.45161290322581
3504924997,SPRG,2021-01-31,Gas,3312.0,106.83870967741936
3504924997,SPRG,2021-02-28,Oil,365.0,13.035714285714286
3504924997,SPRG,2021-02-28,Gas,1862.0,66.5
3504924997,SPRG,2021-03-31,Oil,1290.0,41.61290322580645
3504924997,SPRG,2021-03-31,Gas,2000.0,64.51612903225806
3504925000,SPRG,2015-01-31,Oil,18753.0,604.9354838709677
3504925000,SPRG,2015-01-31,Gas,25377.0,818.6129032258065
3504925000,SPRG,2015-02-28,Oil,16755.0,598.3928571428571
3504925000,SPRG,2015-02-28,Gas,23768.0,848.8571428571429
3504925000,SPRG,2015-03-31,Oil,17782.0,573.6129032258065
3504925000,SPRG,2015-03-31,Gas,24720.0,797.4193548387096
3504925000,SPRG,2015-04-30,Oil,14124.0,470.8
3504925000,SPRG,2015-04-30,Gas,20368.0,678.9333333333333
3504925000,SPRG,2015-05-31,Oil,12898.0,416.06451612903226
3504925000,SPRG,2015-05-31,Gas,20316.0,655.3548387096774
3504925000,SPRG,2015-06-30,Oil,11054.0,368.46666666666664
3504925000,SPRG,2015-06-30,Gas,19717.0,657.2333333333333
3504925000,SPRG,2015-07-31,Oil,9885.0,318.8709677419355
3504925000,SPRG,2015-07-31,Gas,18283.0,589.7741935483871
3504925000,SPRG,2015-08-31,Oil,9683.0,312.35483870967744
3504925000,SPRG,2015-08-31,Gas,18647.0,601.516129032258
3504925000,SPRG,2015-09-30,Oil,8329.0,277.6333333333333
3504925000,SPRG,2015-09-30,Gas,18551.0,618.3666666666667
3504925000,SPRG,2015-10-31,Oil,8514.0,274.64516129032256
3504925000,SPRG,2015-10-31,Gas,19652.0,633.9354838709677
3504925000,SPRG,2015-11-30,Oil,7610.0,253.66666666666666
