,UID,IRR,Life,Payout,ROI,DROI,0.05,0.08,0.09,0.1,0.12,0.15,0.2,0.25,0.3,0.35,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0,3501123860.0,1.0,49.92,0.0,0.0,0.0,112481.45936646374,93641.62539711037,88893.65851600493,84690.14358069761,77573.87054664134,69245.74493004952,59303.912159251195,52294.33115914476,47044.25257511918,42940.37874453666,39629.13998123103,34583.53211996195,30892.532574034056,28056.791136391355,25799.54568113048,23953.935098905364,22412.842999138385
1,81244.0,1.0,50.0,0.75,0.0,0.0,478755.90199508757,416144.40253951185,399638.787691894,384709.76503614045,358640.2835543473,326573.37427394,285408.8166226249,253905.06322792295,228600.44124695886,207606.36041060142,189783.8395707943,160928.23051951925,138411.18789261,120279.95051560226,105356.03068702538,92870.91439019724,82294.4673545645
2,81214.0,1.0,50.0,0.75,0.0,0.0,478755.90199508757,416144.40253951185,399638.787691894,384709.76503614045,358640.2835543473,326573.37427394,285408.8166226249,253905.06322792295,228600.44124695886,207606.36041060142,189783.8395707943,160928.23051951925,138411.18789261,120279.95051560226,105356.03068702538,92870.91439019724,82294.4673545645
3,81324.0,1.0,50.0,0.75,0.0,0.0,478755.90199508757,416144.40253951185,399638.787691894,384709.76503614045,358640.2835543473,326573.37427394,285408.8166226249,253905.06322792295,228600.44124695886,207606.36041060142,189783.8395707943,160928.23051951925,138411.18789261,120279.95051560226,105356.03068702538,92870.91439019724,82294.4673545645
4,81250.0,1.0,50.0,0.75,0.0,0.0,478755.90199508757,416144.40253951185,399638.787691894,384709.76503614045,358640.2835543473,326573.37427394,285408.8166226249,253905.06322792295,228600.44124695886,207606.36041060142,189783.8395707943,160928.23051951925,138411.18789261,120279.95051560226,105356.03068702538,92870.91439019724,82294.4673545645
5,81186.0,1.0,50.0,0.75,0.0,0.0,478755.90199508757,416144.40253951185,399638.787691894,384709.76503614045,358640.2835543473,326573.37427394,285408.8166226249,253905.06322792295,228600.44124695886,207606.36041060142,189783.8395707943,160928.23051951925,138411.18789261,120279.95051560226,105356.03068702538,92870.91439019724,82294.4673545645
6,81245.0,1.0,50.0,0.75,0.0,0.0,291038.19092417194,250856.15157231633,240330.51768461632,230837.19743761106,214324.97974786875,194136.78946682822,168439.310304434,148954.72949971803,133428.44461473322,120636.58195107017,109844.3652076266,92509.5142256516,79108.53320366521,68403.29725152261,59652.37328837351,52375.85656642538,46245.0610250603
7,81215.0,1.0,50.0,0.75,0.0,0.0,291038.19092417194,250856.15157231633,240330.51768461632,230837.19743761106,214324.97974786875,194136.78946682822,168439.310304434,148954.72949971803,133428.44461473322,120636.58195107017,109844.3652076266,92509.5142256516,79108.53320366521,68403.29725152261,59652.37328837351,52375.85656642538,46245.0610250603
8,81325.0,1.0,50.0,0.75,0.0,0.0,291038.19092417194,250856.15157231633,240330.51768461632,230837.19743761106,214324.97974786875,194136.78946682822,168439.310304434,148954.72949971803,133428.44461473322,120636.58195107017,109844.3652076266,92509.5142256516,79108.53320366521,68403.29725152261,59652.37328837351,52375.85656642538,46245.0610250603
9,81251.0,1.0,50.0,0.75,0.0,0.0,291038.19092417194,250856.15157231633,240330.51768461632,230837.19743761106,214324.97974786875,194136.78946682822,168439.310304434,148954.72949971803,133428.44461473322,120636.58195107017,109844.3652076266,92509.5142256516,79108.53320366521,68403.29725152261,59652.37328837351,52375.85656642538,46245.0610250603
10,81187.0,1.0,50.0,0.75,0.0,0.0,291038.19092417194,250856.15157231633,240330.51768461632,230837.19743761106,214324.97974786875,194136.78946682822,168439.310304434,148954.72949971803,133428.44461473322,120636.58195107017,109844.3652076266,92509.5142256516,79108.53320366521,68403.29725152261,59652.37328837351,52375.85656642538,46245.0610250603
11,81305.0,1.0,50.0,0.75,0.0,0.0,291038.19092417194,250856.15157231633,240330.51768461632,230837.19743761106,214324.97974786875,194136.78946682822,168439.310304434,148954.72949971803,133428.44461473322,120636.58195107017,109844.3652076266,92509.5142256516,79108.53320366521,68403.29725152261,59652.37328837351,52375.85656642538,46245.0610250603
12,81244.0,1.0,50.0,1.75,0.0,0.0,439999.7207025038,369724.9803334146,351134.50737804023,334303.4780048569,304896.08214268176,268765.5570773326,222701.12349643523,187992.2371065489,160708.41982787728,138653.1640862345,120470.37085658706,92395.16919843269,71978.63493876636,56726.6061341942,45113.75203449826,36144.516532407986,29138.984691946236
13,81214.0,1.0,50.0,1.75,0.0,0.0,439999.7207025038,369724.9803334146,351134.50737804023,334303.4780048569,304896.08214268176,268765.5570773326,222701.12349643523,187992.2371065489,160708.41982787728,138653.1640862345,120470.37085658706,92395.16919843269,71978.63493876636,56726.6061341942,45113.75203449826,36144.516532407986,29138.984691946236
14,81324.0,1.0,50.0,1.75,0.0,0.0,439999.7207025038,369724.9803334146,351134.50737804023,334303.4780048569,304896.08214268176,268765.5570773326,222701.12349643523,187992.2371065489,160708.41982787728,138653.1640862345,120470.37085658706,92395.16919843269,71978.63493876636,56726.6061341942,45113.75203449826,36144.516532407986,29138.984691946236
15,81250.0,1.0,50.0,1.75,0.0,0.0,439999.7207025038,369724.9803334146,351134.50737804023,334303.4780048569,304896.08214268176,268765.5570773326,222701.12349643523,187992.2371065489,160708.41982787728,138653.1640862345,120470.37085658706,92395.16919843269,71978.63493876636,56726.6061341942,45113.75203449826,36144.516532407986,29138.984691946236
16,81186.0,1.0,50.0,1.75,0.0,0.0,439999.7207025038,369724.9803334146,351134.50737804023,334303.4780048569,304896.08214268176,268765.5570773326,222701.12349643523,187992.2371065489,160708.41982787728,138653.1640862345,120470.37085658706,92395.16919843269,71978.63493876636,56726.6061341942,45113.75203449826,36144.516532407986,29138.984691946236
17,81245.0,1.0,50.0,1.75,0.0,0.0,268194.94278182974,223465.69108646107,211718.0644870794,201116.02083907276,182673.21773986646,160164.6925008525,131728.66495953064,110512.64096763206,93972.86255946317,80697.97243176874,69822.51773127538,53162.94387494129,41160.39273162916,32264.411114426937,25537.101131204738,20372.345833433305,16359.893472718364
18,81215.0,1.0,50.0,1.75,0.0,0.0,268194.94278182974,223465.69108646107,211718.0644870794,201116.02083907276,182673.21773986646,160164.6925008525,131728.66495953064,110512.64096763206,93972.86255946317,80697.97243176874,69822.51773127538,53162.94387494129,41160.39273162916,32264.411114426937,25537.101131204738,20372.345833433305,16359.893472718364
19,81325.0,1.0,50.0,1.75,0.0,0.0,268194.94278182974,223465.69108646107,211718.0644870794,201116.02083907276,182673.21773986646,160164.6925008525,131728.66495953064,110512.64096763206,93972.86255946317,80697.97243176874,69822.51773127538,53162.94387494129,41160.39273162916,32264.411114426937,25537.101131204738,20372.345833433305,16359.893472718364
