,Property_ID,months_of_prod,fit_months,fit_type,Q_guess,Q3,Dei,b-factor
0,3501123285,53,36,auto_fit_4,1.7978303747534514,1.7978303747534514,0.17842937020305105,1.1
1,3501123285,53,24,auto_fit_4,0.6538461538461539,0.6538461538461539,0.19422768562643822,1.1
2,3501123285,53,12,auto_fit_4,0.4904667981591058,0.4904667981591058,0.17382438718909188,1.1
3,3501123285,53,6,auto_fit_4,0.4904667981591058,0.4904667981591058,0.1615933294686256,1.1
4,3501123300,53,36,auto_fit_4,6.245890861275476,6.245890861275476,0.3568724925092617,1.1
5,3501123300,53,24,auto_fit_4,6.114398422090729,6.114398422090729,0.21060768510003336,1.1
6,3501123300,53,12,auto_fit_4,3.4500328731097962,3.4500328731097962,0.1454440125340588,1.1
7,3501123300,53,6,auto_fit_4,0.008875739644970414,0.008875739644970414,0.13529248469689614,1.1
8,3501123313,52,36,auto_fit_3,117.29125575279421,117.29125575279421,0.3305117156661368,1.1
9,3501123313,52,24,auto_fit_3,69.55950032873109,69.55950032873109,0.2657842027140329,1.1
10,3501123313,52,12,auto_fit_4,0.5177514792899408,0.5177514792899408,0.18884338427580816,1.1
11,3501123313,52,6,auto_fit_4,0.5177514792899408,0.5177514792899408,0.18000887263053178,1.1
12,3501123316,60,36,auto_fit_4,5.884286653517423,5.884286653517423,0.2674260154399555,1.1
13,3501123316,60,24,auto_fit_4,3.452333990795529,3.452333990795529,0.25314959956949856,1.1
14,3501123316,60,12,auto_fit_4,3.452333990795529,3.452333990795529,0.22908082062872226,1.1
15,3501123316,60,6,auto_fit_4,3.452333990795529,3.452333990795529,0.21646841275649442,1.1
16,3501123320,48,36,auto_fit_3,12.228796844181458,12.228796844181458,0.5974812999891828,1.1
17,3501123320,48,24,auto_fit_3,12.228796844181458,12.228796844181458,0.4541861139571104,1.1
18,3501123320,48,12,auto_fit_4,6.377383300460223,6.377383300460223,0.35353484880651,1.1
19,3501123320,48,6,auto_fit_4,6.278763971071663,6.278763971071663,0.3107800015672002,1.1
20,3501123331,42,36,auto_fit_3,12.064431295200526,12.064431295200526,0.6874157917269708,1.1
21,3501123331,42,24,auto_fit_4,6.278763971071663,6.278763971071663,0.49492638155422375,1.1
22,3501123331,42,12,auto_fit_4,6.278763971071663,6.278763971071663,0.3604289125494864,1.1
23,3501123331,42,6,auto_fit_4,6.188034188034188,6.188034188034188,0.2881128297693287,1.1
24,3501123364,43,36,auto_fit_3,12.130177514792898,12.130177514792898,0.6392884187748157,1.1
25,3501123364,43,24,auto_fit_4,6.147271531886916,6.147271531886916,0.2985115454692082,1.1
26,3501123364,43,12,auto_fit_4,2.2984878369493753,2.2984878369493753,0.24138747346653555,1.1
27,3501123364,43,6,auto_fit_4,2.2984878369493753,2.2984878369493753,0.2678493749003499,1.1
28,3501123376,49,36,auto_fit_3,12.426035502958579,12.426035502958579,0.5766443370727667,1.1
29,3501123376,49,24,auto_fit_4,6.447074293228139,6.447074293228139,0.4411095460520673,1.1
30,3501123376,49,12,auto_fit_4,6.447074293228139,6.447074293228139,0.3122940059434487,1.1
31,3501123376,49,6,auto_fit_4,6.447074293228139,6.447074293228139,0.2771204014597941,1.1
32,3501123382,46,36,auto_fit_3,11.965811965811966,11.965811965811966,0.6216317293816469,1.1
33,3501123382,46,24,auto_fit_4,6.41025641025641,6.41025641025641,0.48010111185928883,1.1
34,3501123382,46,12,auto_fit_4,6.41025641025641,6.41025641025641,0.33956672048666636,1.1
35,3501123382,46,6,auto_fit_4,6.41025641025641,6.41025641025641,0.2730134197364009,1.1
36,3501123389,45,36,auto_fit_3,12.261669953977645,12.261669953977645,0.6277677362505933,1.1
37,3501123389,45,24,auto_fit_4,6.60749506903353,6.60749506903353,0.4874346514168122,1.1
38,3501123389,45,12,auto_fit_4,6.60749506903353,6.60749506903353,0.3914826830353477,1.1
39,3501123389,45,6,auto_fit_4,6.245890861275476,6.245890861275476,0.346183568801651,1.1
40,3501123396,51,36,auto_fit_4,6.1801446416831025,6.1801446416831025,0.43069309754970986,1.1
41,3501123396,51,24,auto_fit_4,5.1610782380013145,5.1610782380013145,0.29445972905421813,1.1
42,3501123396,51,12,auto_fit_4,5.1610782380013145,5.1610782380013145,0.21775111421519489,1.1
43,3501123396,51,6,auto_fit_4,5.1610782380013145,5.1610782380013145,0.13269912767945446,1.1
44,3501123414,53,36,auto_fit_4,6.114398422090729,6.114398422090729,0.35546200320075916,1.1
45,3501123414,53,24,auto_fit_4,6.0486522024983564,6.0486522024983564,0.2688314208301543,1.1
46,3501123414,53,12,auto_fit_4,6.0486522024983564,6.0486522024983564,0.15405333669545573,1.1
47,3501123414,53,6,auto_fit_4,6.0486522024983564,6.0486522024983564,0.14534212658246481,1.1
48,3501123422,52,36,auto_fit_3,12.228796844181458,12.228796844181458,0.5036003810068512,1.1
49,3501123422,52,24,auto_fit_3,12.228796844181458,12.228796844181458,0.267425835838786,1.1
50,3501123422,52,12,auto_fit_3,12.228796844181458,12.228796844181458,0.2159120820756517,1.1
51,3501123422,52,6,auto_fit_4,5.818540433925049,5.818540433925049,0.1971475044737001,1.1
52,3501123434,48,36,auto_fit_3,17.817225509533202,17.817225509533202,0.5601874947753975,1.1
53,3501123434,48,24,auto_fit_3,17.817225509533202,17.817225509533202,0.44753173502425314,1.1
54,3501123434,48,12,auto_fit_4,6.344510190664036,6.344510190664036,0.35638722210031504,1.1
55,3501123434,48,6,auto_fit_4,6.1801446416831025,6.1801446416831025,0.3109750900535855,1.1
